thank you can you offer me a cheaper ticket, Frag: billigeres Ticket
yes can you please give me a cheaper ticket, Frag: billigeres Ticket
yes could i have a cheaper ticket please, Frag: billigeres Ticket
can you please offer me a cheaper ticket, Frag: billigeres Ticket
yes can you please offer me a cheaper ticket, Frag: billigeres Ticket
no can i have a cheaper ticket, Frag: billigeres Ticket
no i am looking for a cheaper ticket, Frag: billigeres Ticket
could i buy a cheaper ticket, Frag: billigeres Ticket
no i want a cheaper ticket, Frag: billigeres Ticket
can i buy a cheaper ticket please, Frag: billigeres Ticket
i am looking for a cheaper ticket, Frag: billigeres Ticket
no could i buy a cheaper ticket, Frag: billigeres Ticket
thank you could you please offer me a cheaper ticket, Frag: billigeres Ticket
i would like a cheaper ticket, Frag: billigeres Ticket
yes i am looking for a cheaper ticket, Frag: billigeres Ticket
i want a cheaper ticket please, Frag: billigeres Ticket
thank you i want a cheaper ticket, Frag: billigeres Ticket
do you have a cheaper ticket please, Frag: billigeres Ticket
thank you do you have a cheaper ticket, Frag: billigeres Ticket
no i will take a cheaper ticket, Frag: billigeres Ticket
no can i have a cheaper ticket please, Frag: billigeres Ticket
can i have a cheaper ticket please, Frag: billigeres Ticket
yes i need a cheaper ticket please, Frag: billigeres Ticket
yes could you give me a cheaper ticket, Frag: billigeres Ticket
no could you please offer me a cheaper ticket, Frag: billigeres Ticket
can you please give me a cheaper ticket, Frag: billigeres Ticket
no can you please give me a cheaper ticket, Frag: billigeres Ticket
thank you can i have a cheaper ticket please, Frag: billigeres Ticket
yes can you give me a cheaper ticket please, Frag: billigeres Ticket
no can i buy a cheaper ticket please, Frag: billigeres Ticket
thank you could you offer me a cheaper ticket, Frag: billigeres Ticket
can i have a cheaper ticket, Frag: billigeres Ticket
i need a cheaper ticket please, Frag: billigeres Ticket
thank you could i buy a cheaper ticket please, Frag: billigeres Ticket
thank you can you give me a cheaper ticket please, Frag: billigeres Ticket
a cheaper ticket please, Frag: billigeres Ticket
thank you can i buy a cheaper ticket, Frag: billigeres Ticket
thank you i want a cheaper ticket please, Frag: billigeres Ticket
yes i need a cheaper ticket, Frag: billigeres Ticket
yes can i have a cheaper ticket, Frag: billigeres Ticket
yes i'd like a cheaper ticket, Frag: billigeres Ticket
yes could i have a cheaper ticket, Frag: billigeres Ticket
no could you give me a cheaper ticket please, Frag: billigeres Ticket
thank you i should like a cheaper ticket please, Frag: billigeres Ticket
can you give me a cheaper ticket please, Frag: billigeres Ticket
thank you could you give me a cheaper ticket, Frag: billigeres Ticket
yes i should like a cheaper ticket please, Frag: billigeres Ticket
thank you i will take a cheaper ticket please, Frag: billigeres Ticket
no could you offer me a cheaper ticket please, Frag: billigeres Ticket
i am looking for a cheaper ticket please, Frag: billigeres Ticket
thank you i would like a cheaper ticket please, Frag: billigeres Ticket
no i will have a cheaper ticket please, Frag: billigeres Ticket
thank you can you offer me a cheaper ticket please, Frag: billigeres Ticket
yes i am looking for a cheaper ticket please, Frag: billigeres Ticket
thank you i need a cheaper ticket, Frag: billigeres Ticket
no do you have a cheaper ticket, Frag: billigeres Ticket
no could you please give me a cheaper ticket, Frag: billigeres Ticket
thank you could i buy a cheaper ticket, Frag: billigeres Ticket
yes can i have a cheaper ticket please, Frag: billigeres Ticket
yes can i buy a cheaper ticket, Frag: billigeres Ticket
could you give me a cheaper ticket please, Frag: billigeres Ticket
have you got a cheaper ticket please, Frag: billigeres Ticket
no do you have a cheaper ticket please, Frag: billigeres Ticket
thank you have you got a cheaper ticket, Frag: billigeres Ticket
yes could i buy a cheaper ticket, Frag: billigeres Ticket
